[23:01:19] UPCALL packets diff: 11643, errors diff: 0
[23:01:20] UPCALL packets diff: 21012, errors diff: 0
[23:01:21] UPCALL packets diff: 11384, errors diff: 0
[23:01:22] UPCALL packets diff: 13177, errors diff: 0
[23:01:23] UPCALL packets diff: 14670, errors diff: 0
[23:01:24] UPCALL packets diff: 13613, errors diff: 0
[23:01:25] UPCALL packets diff: 12530, errors diff: 0
[23:01:26] UPCALL packets diff: 17755, errors diff: 0
[23:01:27] UPCALL packets diff: 15646, errors diff: 0
[23:01:28] UPCALL packets diff: 15427, errors diff: 0
[23:01:29] UPCALL packets diff: 15811, errors diff: 0
[23:01:30] UPCALL packets diff: 16512, errors diff: 0
[23:01:31] UPCALL packets diff: 15486, errors diff: 0
[23:01:32] UPCALL packets diff: 23805, errors diff: 0
[23:01:33] UPCALL packets diff: 15198, errors diff: 0
[23:01:34] UPCALL packets diff: 22140, errors diff: 0
[23:01:35] UPCALL packets diff: 17416, errors diff: 0
[23:01:36] UPCALL packets diff: 13372, errors diff: 0
[23:01:37] UPCALL packets diff: 15496, errors diff: 0
[23:01:38] UPCALL packets diff: 10088, errors diff: 0
[23:01:40] UPCALL packets diff: 0, errors diff: 0
[23:01:41] UPCALL packets diff: 0, errors diff: 0
[23:01:42] UPCALL packets diff: 0, errors diff: 0
[23:01:43] UPCALL packets diff: 0, errors diff: 0
[23:01:44] UPCALL packets diff: 0, errors diff: 0
[23:01:45] UPCALL packets diff: 0, errors diff: 0
