[22:58:35] port 1: br-int, UPCALL packets:0 errors:0
[22:58:35] port 2: ens16f1np1, UPCALL packets:1057542 errors:1545
[22:58:35] port 3: pod1, UPCALL packets:109 errors:0
[22:58:35] port 4: pod2, UPCALL packets:78 errors:0
[22:58:35] port 5: pod3, UPCALL packets:141 errors:0
[22:58:35] port 6: pod4, UPCALL packets:169 errors:0
[22:58:35] port 7: pod5, UPCALL packets:178 errors:0
[22:58:35] port 8: pod6, UPCALL packets:380 errors:0
[22:58:35] port 9: pod7, UPCALL packets:340 errors:0
[22:58:35] port 10: pod8, UPCALL packets:212 errors:0
[22:58:36] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:36] port 1: br-int, UPCALL packets:0 errors:0
[22:58:36] port 2: ens16f1np1, UPCALL packets:1126368 errors:1545
[22:58:36] port 3: pod1, UPCALL packets:109 errors:0
[22:58:36] port 4: pod2, UPCALL packets:78 errors:0
[22:58:36] port 5: pod3, UPCALL packets:141 errors:0
[22:58:36] port 6: pod4, UPCALL packets:169 errors:0
[22:58:36] port 7: pod5, UPCALL packets:178 errors:0
[22:58:36] port 8: pod6, UPCALL packets:380 errors:0
[22:58:36] port 9: pod7, UPCALL packets:340 errors:0
[22:58:36] port 10: pod8, UPCALL packets:212 errors:0
[22:58:37] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:37] port 1: br-int, UPCALL packets:0 errors:0
[22:58:37] port 2: ens16f1np1, UPCALL packets:1180068 errors:1545
[22:58:37] port 3: pod1, UPCALL packets:109 errors:0
[22:58:37] port 4: pod2, UPCALL packets:78 errors:0
[22:58:37] port 5: pod3, UPCALL packets:141 errors:0
[22:58:37] port 6: pod4, UPCALL packets:169 errors:0
[22:58:37] port 7: pod5, UPCALL packets:178 errors:0
[22:58:37] port 8: pod6, UPCALL packets:380 errors:0
[22:58:37] port 9: pod7, UPCALL packets:340 errors:0
[22:58:37] port 10: pod8, UPCALL packets:212 errors:0
[22:58:38] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:38] port 1: br-int, UPCALL packets:0 errors:0
[22:58:38] port 2: ens16f1np1, UPCALL packets:1241550 errors:1545
[22:58:38] port 3: pod1, UPCALL packets:109 errors:0
[22:58:38] port 4: pod2, UPCALL packets:78 errors:0
[22:58:38] port 5: pod3, UPCALL packets:141 errors:0
[22:58:38] port 6: pod4, UPCALL packets:169 errors:0
[22:58:38] port 7: pod5, UPCALL packets:179 errors:0
[22:58:38] port 8: pod6, UPCALL packets:380 errors:0
[22:58:38] port 9: pod7, UPCALL packets:340 errors:0
[22:58:38] port 10: pod8, UPCALL packets:212 errors:0
[22:58:39] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:39] port 1: br-int, UPCALL packets:0 errors:0
[22:58:39] port 2: ens16f1np1, UPCALL packets:1293720 errors:1545
[22:58:39] port 3: pod1, UPCALL packets:109 errors:0
[22:58:39] port 4: pod2, UPCALL packets:78 errors:0
[22:58:39] port 5: pod3, UPCALL packets:141 errors:0
[22:58:39] port 6: pod4, UPCALL packets:169 errors:0
[22:58:39] port 7: pod5, UPCALL packets:179 errors:0
[22:58:39] port 8: pod6, UPCALL packets:380 errors:0
[22:58:39] port 9: pod7, UPCALL packets:340 errors:0
[22:58:39] port 10: pod8, UPCALL packets:212 errors:0
[22:58:40] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:40] port 1: br-int, UPCALL packets:0 errors:0
[22:58:40] port 2: ens16f1np1, UPCALL packets:1361178 errors:1545
[22:58:40] port 3: pod1, UPCALL packets:121 errors:0
[22:58:40] port 4: pod2, UPCALL packets:78 errors:0
[22:58:40] port 5: pod3, UPCALL packets:141 errors:0
[22:58:40] port 6: pod4, UPCALL packets:169 errors:0
[22:58:40] port 7: pod5, UPCALL packets:179 errors:0
[22:58:40] port 8: pod6, UPCALL packets:380 errors:0
[22:58:40] port 9: pod7, UPCALL packets:340 errors:0
[22:58:40] port 10: pod8, UPCALL packets:212 errors:0
[22:58:41] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:41] port 1: br-int, UPCALL packets:0 errors:0
[22:58:41] port 2: ens16f1np1, UPCALL packets:1410501 errors:1545
[22:58:41] port 3: pod1, UPCALL packets:121 errors:0
[22:58:41] port 4: pod2, UPCALL packets:78 errors:0
[22:58:41] port 5: pod3, UPCALL packets:141 errors:0
