Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

12:04:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:25 AM   15   51.52    0.00   25.25    0.00    0.00   10.10    0.00    0.00    0.00   13.13

12:04:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:26 AM  all   53.65    0.00   26.57    0.00    0.19    9.13    0.00    0.00    0.00   10.45
12:04:26 AM    0   54.00    0.00   26.00    0.00    1.00    8.00    0.00    0.00    0.00   11.00
12:04:26 AM    1   49.00    0.00   25.00    0.00    0.00    9.00    0.00    0.00    0.00   17.00
12:04:26 AM    2   51.55    0.00   24.74    0.00    0.00    8.25    0.00    0.00    0.00   15.46
12:04:26 AM    3   55.00    0.00   29.00    0.00    0.00    9.00    0.00    0.00    0.00    7.00
12:04:26 AM    4   56.57    0.00   30.30    0.00    0.00    8.08    0.00    0.00    0.00    5.05
12:04:26 AM    5   55.00    0.00   27.00    0.00    0.00   11.00    0.00    0.00    0.00    7.00
12:04:26 AM    6   52.53    0.00   25.25    0.00    0.00   10.10    0.00    0.00    0.00   12.12
12:04:26 AM    7   55.10    0.00   27.55    0.00    0.00    8.16    0.00    0.00    0.00    9.18
12:04:26 AM    8   49.00    0.00   26.00    0.00    1.00   10.00    0.00    0.00    0.00   14.00
12:04:26 AM    9   55.10    0.00   31.63    0.00    0.00    7.14    0.00    0.00    0.00    6.12
12:04:26 AM   10   53.00    0.00   27.00    0.00    0.00   10.00    0.00    0.00    0.00   10.00
12:04:26 AM   11   54.00    0.00   26.00    0.00    0.00   11.00    0.00    0.00    0.00    9.00
12:04:26 AM   12   53.54    0.00   25.25    0.00    0.00    8.08    0.00    0.00    0.00   13.13
12:04:26 AM   13   59.60    0.00   23.23    0.00    1.01    9.09    0.00    0.00    0.00    7.07
12:04:26 AM   14   52.00    0.00   24.00    0.00    0.00   11.00    0.00    0.00    0.00   13.00
12:04:26 AM   15   53.54    0.00   27.27    0.00    0.00    8.08    0.00    0.00    0.00   11.11

12:04:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:27 AM  all   52.90    0.00   25.23    0.00    0.81    9.12    0.00    0.00    0.00   11.93
12:04:27 AM    0   50.51    0.00   24.24    0.00    0.00   13.13    0.00    0.00    0.00   12.12
12:04:27 AM    1   54.00    0.00   25.00    0.00    1.00   10.00    0.00    0.00    0.00   10.00
12:04:27 AM    2   46.53    0.00   22.77    0.00    0.99    8.91    0.00    0.00    0.00   20.79
12:04:27 AM    3   56.00    0.00   26.00    0.00    1.00    8.00    0.00    0.00    0.00    9.00
12:04:27 AM    4   54.46    0.00   23.76    0.00    0.99   10.89    0.00    0.00    0.00    9.90
12:04:27 AM    5   53.06    0.00   23.47    0.00    1.02    8.16    0.00    0.00    0.00   14.29
12:04:27 AM    6   54.46    0.00   26.73    0.00    0.99    8.91    0.00    0.00    0.00    8.91
12:04:27 AM    7   50.50    0.00   21.78    0.00    0.99    6.93    0.00    0.00    0.00   19.80
12:04:27 AM    8   51.52    0.00   23.23    0.00    0.00    9.09    0.00    0.00    0.00   16.16
12:04:27 AM    9   61.39    0.00   25.74    0.00    0.99    7.92    0.00    0.00    0.00    3.96
