Linux 5.14.0-427.el9.x86_64 (centos) 	06/26/2024 	_x86_64_	(16 CPU)

11:50:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:37 PM   11   53.06    0.00   26.53    0.00    0.00   10.20    0.00    0.00    0.00   10.20
11:50:37 PM   12   51.52    0.00   27.27    0.00    1.01   10.10    0.00    0.00    0.00   10.10
11:50:37 PM   13   55.56    0.00   25.25    0.00    1.01    9.09    0.00    0.00    0.00    9.09
11:50:37 PM   14   53.47    0.00   27.72    0.00    0.99   10.89    0.00    0.00    0.00    6.93
11:50:37 PM   15   57.43    0.00   27.72    0.00    0.99    7.92    0.00    0.00    0.00    5.94

11:50:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:38 PM  all   47.71    0.00   22.42    0.00    0.75    7.95    0.06    0.00    0.00   21.10
11:50:38 PM    0   50.51    0.00   22.22    0.00    1.01    6.06    0.00    0.00    0.00   20.20
11:50:38 PM    1   50.50    0.00   22.77    0.00    0.99    8.91    0.00    0.00    0.00   16.83
11:50:38 PM    2   51.49    0.00   23.76    0.00    0.99    6.93    0.00    0.00    0.00   16.83
11:50:38 PM    3   48.51    0.00   21.78    0.00    0.99    6.93    0.00    0.00    0.00   21.78
11:50:38 PM    4   40.40    0.00   19.19    0.00    1.01    7.07    0.00    0.00    0.00   32.32
11:50:38 PM    5   37.62    0.00   15.84    0.00    0.99    8.91    0.00    0.00    0.00   36.63
11:50:38 PM    6   48.48    0.00   21.21    0.00    1.01    7.07    0.00    0.00    0.00   22.22
11:50:38 PM    7   46.00    0.00   21.00    0.00    1.00    9.00    0.00    0.00    0.00   23.00
11:50:38 PM    8   46.53    0.00   23.76    0.00    0.99    8.91    0.00    0.00    0.00   19.80
11:50:38 PM    9   48.45    0.00   23.71    0.00    0.00    9.28    0.00    0.00    0.00   18.56
11:50:38 PM   10   48.00    0.00   23.00    0.00    1.00    7.00    0.00    0.00    0.00   21.00
11:50:38 PM   11   46.00    0.00   22.00    0.00    1.00    9.00    0.00    0.00    0.00   22.00
11:50:38 PM   12   48.00    0.00   24.00    0.00    0.00    7.00    1.00    0.00    0.00   20.00
11:50:38 PM   13   49.00    0.00   26.00    0.00    0.00    9.00    0.00    0.00    0.00   16.00
11:50:38 PM   14   50.51    0.00   24.24    0.00    1.01    9.09    0.00    0.00    0.00   15.15
11:50:38 PM   15   53.54    0.00   24.24    0.00    0.00    7.07    0.00    0.00    0.00   15.15

11:50:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:39 PM  all    0.25    0.00    0.37    0.00    0.00    0.12    0.00    0.00    0.00   99.25
11:50:39 PM    0    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:50:39 PM    1    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:50:39 PM    2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:50:39 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:39 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:39 PM    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:50:39 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:39 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:39 PM    8    0.99    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   98.02
11:50:39 PM    9    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:50:39 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:39 PM   11    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
