Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

01:26:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:44 AM    4   48.51    0.00   27.72    0.00    0.99   12.87    0.00    0.00    0.00    9.90
01:26:44 AM    5   59.00    0.00   27.00    0.00    0.00    2.00    0.00    0.00    0.00   12.00
01:26:44 AM    6   51.96    0.00   26.47    0.00    0.98   10.78    0.00    0.00    0.00    9.80
01:26:44 AM    7   55.45    0.00   25.74    0.00    0.99    8.91    0.00    0.00    0.00    8.91
01:26:44 AM    8   42.42    0.00   27.27    0.00    0.00   10.10    0.00    0.00    0.00   20.20
01:26:44 AM    9   54.08    0.00   28.57    0.00    0.00    9.18    0.00    0.00    0.00    8.16
01:26:44 AM   10   51.00    0.00   26.00    0.00    0.00   12.00    0.00    0.00    0.00   11.00
01:26:44 AM   11   49.00    0.00   27.00    0.00    0.00   12.00    0.00    0.00    0.00   12.00
01:26:44 AM   12   52.00    0.00   27.00    0.00    0.00   12.00    0.00    0.00    0.00    9.00
01:26:44 AM   13   46.53    0.00   28.71    0.00    0.99    9.90    0.00    0.00    0.00   13.86
01:26:44 AM   14   47.00    0.00   28.00    0.00    0.00   12.00    0.00    0.00    0.00   13.00
01:26:44 AM   15   39.00    0.00   23.00    0.00    0.00   15.00    0.00    0.00    0.00   23.00

01:26:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:45 AM  all   50.35    0.00   25.17    0.00    0.38   11.24    0.00    0.00    0.00   12.87
01:26:45 AM    0   48.51    0.00   22.77    0.00    0.99   12.87    0.00    0.00    0.00   14.85
01:26:45 AM    1   30.00    0.00   17.00    0.00    0.00   21.00    0.00    0.00    0.00   32.00
01:26:45 AM    2   52.48    0.00   27.72    0.00    0.00   11.88    0.00    0.00    0.00    7.92
01:26:45 AM    3   55.00    0.00   28.00    0.00    1.00   11.00    0.00    0.00    0.00    5.00
01:26:45 AM    4   57.58    0.00   29.29    0.00    0.00    9.09    0.00    0.00    0.00    4.04
01:26:45 AM    5   65.66    0.00   26.26    0.00    0.00    3.03    0.00    0.00    0.00    5.05
01:26:45 AM    6   53.06    0.00   27.55    0.00    0.00   12.24    0.00    0.00    0.00    7.14
01:26:45 AM    7   47.47    0.00   25.25    0.00    0.00   11.11    0.00    0.00    0.00   16.16
01:26:45 AM    8   46.00    0.00   22.00    0.00    1.00   12.00    0.00    0.00    0.00   19.00
01:26:45 AM    9   44.12    0.00   22.55    0.00    0.98   11.76    0.00    0.00    0.00   20.59
01:26:45 AM   10   54.00    0.00   27.00    0.00    1.00   11.00    0.00    0.00    0.00    7.00
01:26:45 AM   11   45.45    0.00   21.21    0.00    0.00   14.14    0.00    0.00    0.00   19.19
01:26:45 AM   12   55.10    0.00   27.55    0.00    0.00    9.18    0.00    0.00    0.00    8.16
01:26:45 AM   13   56.57    0.00   31.31    0.00    0.00    9.09    0.00    0.00    0.00    3.03
01:26:45 AM   14   50.51    0.00   26.26    0.00    0.00   10.10    0.00    0.00    0.00   13.13
01:26:45 AM   15   44.44    0.00   21.21    0.00    1.01   10.10    0.00    0.00    0.00   23.23

01:26:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:46 AM  all   50.50    0.00   24.19    0.00    0.56   10.96    0.00    0.00    0.00   13.78
01:26:46 AM    0   53.54    0.00   26.26    0.00    0.00   13.13    0.00    0.00    0.00    7.07
01:26:46 AM    1   39.60    0.00   18.81    0.00    0.99   19.80    0.00    0.00    0.00   20.79
01:26:46 AM    2   52.00    0.00   27.00    0.00    1.00   13.00    0.00    0.00    0.00    7.00
01:26:46 AM    3   57.00    0.00   26.00    0.00    0.00   11.00    0.00    0.00    0.00    6.00
01:26:46 AM    4   52.48    0.00   25.74    0.00    0.99   11.88    0.00    0.00    0.00    8.91
01:26:46 AM    5   61.00    0.00   26.00    0.00    1.00    2.00    0.00    0.00    0.00   10.00
01:26:46 AM    6   53.47    0.00   21.78    0.00    0.99   10.89    0.00    0.00    0.00   12.87
01:26:46 AM    7   53.00    0.00   22.00    0.00    1.00    9.00    0.00    0.00    0.00   15.00
01:26:46 AM    8   48.98    0.00   23.47    0.00    0.00    9.18    0.00    0.00    0.00   18.37
01:26:46 AM    9   49.49    0.00   23.23    0.00    0.00    8.08    0.00    0.00    0.00   19.19
01:26:46 AM   10   43.88    0.00   23.47    0.00    0.00   11.22    0.00    0.00    0.00   21.43
01:26:46 AM   11   43.43    0.00   21.21    0.00    1.01   11.11    0.00    0.00    0.00   23.23
01:26:46 AM   12   51.49    0.00   26.73    0.00    0.99   10.89    0.00    0.00    0.00    9.90
01:26:46 AM   13   52.48    0.00   27.72    0.00    0.00   10.89    0.00    0.00    0.00    8.91
01:26:46 AM   14   44.90    0.00   24.49    0.00    1.02   12.24    0.00    0.00    0.00   17.35
01:26:46 AM   15   51.00    0.00   23.00    0.00    0.00   11.00    0.00    0.00    0.00   15.00

01:26:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:47 AM  all   48.93    0.00   24.28    0.00    0.31   11.73    0.00    0.00    0.00   14.74
01:26:47 AM    0   54.00    0.00   26.00    0.00    1.00    9.00    0.00    0.00    0.00   10.00
01:26:47 AM    1   35.71    0.00   21.43    0.00    0.00   18.37    0.00    0.00    0.00   24.49
01:26:47 AM    2   53.00    0.00   24.00    0.00    0.00   12.00    0.00    0.00    0.00   11.00
01:26:47 AM    3   52.53    0.00   28.28    0.00    1.01   10.10    0.00    0.00    0.00    8.08
01:26:47 AM    4   54.00    0.00   27.00    0.00    0.00   10.00    0.00    0.00    0.00    9.00
01:26:47 AM    5   64.65    0.00   26.26    0.00    0.00    2.02    0.00    0.00    0.00    7.07
01:26:47 AM    6   51.52    0.00   28.28    0.00    0.00   13.13    0.00    0.00    0.00    7.07
01:26:47 AM    7   42.00    0.00   21.00    0.00    0.00   14.00    0.00    0.00    0.00   23.00
01:26:47 AM    8   48.48    0.00   23.23    0.00    0.00   12.12    0.00    0.00    0.00   16.16
01:26:47 AM    9   45.00    0.00   26.00    0.00    1.00   11.00    0.00    0.00    0.00   17.00
01:26:47 AM   10   49.00    0.00   24.00    0.00    0.00   11.00    0.00    0.00    0.00   16.00
01:26:47 AM   11   48.48    0.00   25.25    0.00    0.00    9.09    0.00    0.00    0.00   17.17
01:26:47 AM   12   53.00    0.00   25.00    0.00    0.00   11.00    0.00    0.00    0.00   11.00
01:26:47 AM   13   51.52    0.00   25.25    0.00    1.01   12.12    0.00    0.00    0.00   10.10
01:26:47 AM   14   42.00    0.00   20.00    0.00    0.00   15.00    0.00    0.00    0.00   23.00
01:26:47 AM   15   38.24    0.00   17.65    0.00    0.98   17.65    0.00    0.00    0.00   25.49

01:26:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:48 AM  all   48.09    0.00   22.99    0.00    0.50   11.74    0.00    0.00    0.00   16.68
01:26:48 AM    0   51.00    0.00   25.00    0.00    0.00   11.00    0.00    0.00    0.00   13.00
01:26:48 AM    1   35.00    0.00   20.00    0.00    0.00   22.00    0.00    0.00    0.00   23.00
01:26:48 AM    2   48.48    0.00   24.24    0.00    0.00   12.12    0.00    0.00    0.00   15.15
01:26:48 AM    3   57.00    0.00   27.00    0.00    0.00    9.00    0.00    0.00    0.00    7.00
01:26:48 AM    4   53.00    0.00   24.00    0.00    1.00   12.00    0.00    0.00    0.00   10.00
01:26:48 AM    5   60.40    0.00   26.73    0.00    0.99    1.98    0.00    0.00    0.00    9.90
01:26:48 AM    6   56.00    0.00   26.00    0.00    1.00    9.00    0.00    0.00    0.00    8.00
01:26:48 AM    7   41.41    0.00   16.16    0.00    0.00   13.13    0.00    0.00    0.00   29.29
01:26:48 AM    8   41.18    0.00   20.59    0.00    0.98   10.78    0.00    0.00    0.00   26.47
01:26:48 AM    9   49.49    0.00   23.23    0.00    0.00   11.11    0.00    0.00    0.00   16.16
01:26:48 AM   10   47.00    0.00   24.00    0.00    1.00   12.00    0.00    0.00    0.00   16.00
01:26:48 AM   11   46.00    0.00   22.00    0.00    1.00   12.00    0.00    0.00    0.00   19.00
01:26:48 AM   12   48.51    0.00   23.76    0.00    0.99   15.84    0.00    0.00    0.00   10.89
01:26:48 AM   13   52.00    0.00   25.00    0.00    0.00   12.00    0.00    0.00    0.00   11.00
01:26:48 AM   14   43.56    0.00   19.80    0.00    0.99   11.88    0.00    0.00    0.00   23.76
01:26:48 AM   15   39.39    0.00   20.20    0.00    0.00   12.12    0.00    0.00    0.00   28.28

01:26:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:49 AM  all   48.91    0.00   22.67    0.00    0.37   12.18    0.00    0.00    0.00   15.87
01:26:49 AM    0   54.00    0.00   24.00    0.00    1.00   12.00    0.00    0.00    0.00    9.00
01:26:49 AM    1   25.00    0.00   14.00    0.00    1.00   26.00    0.00    0.00    0.00   34.00
01:26:49 AM    2   58.00    0.00   25.00    0.00    1.00    8.00    0.00    0.00    0.00    8.00
01:26:49 AM    3   48.51    0.00   25.74    0.00    0.99   13.86    0.00    0.00    0.00   10.89
01:26:49 AM    4   53.00    0.00   26.00    0.00    0.00   11.00    0.00    0.00    0.00   10.00
01:26:49 AM    5   64.36    0.00   24.75    0.00    0.00    2.97    0.00    0.00    0.00    7.92
01:26:49 AM    6   54.00    0.00   25.00    0.00    0.00   11.00    0.00    0.00    0.00   10.00
01:26:49 AM    7   47.52    0.00   24.75    0.00    0.99   11.88    0.00    0.00    0.00   14.85
01:26:49 AM    8   45.00    0.00   22.00    0.00    0.00   11.00    0.00    0.00    0.00   22.00
01:26:49 AM    9   45.92    0.00   19.39    0.00    0.00   12.24    0.00    0.00    0.00   22.45
01:26:49 AM   10   39.39    0.00   18.18    0.00    0.00   13.13    0.00    0.00    0.00   29.29
01:26:49 AM   11   46.00    0.00   21.00    0.00    0.00   14.00    0.00    0.00    0.00   19.00
01:26:49 AM   12   56.57    0.00   26.26    0.00    0.00   10.10    0.00    0.00    0.00    7.07
01:26:49 AM   13   52.48    0.00   24.75    0.00    0.99   12.87    0.00    0.00    0.00    8.91
01:26:49 AM   14   43.00    0.00   21.00    0.00    0.00   12.00    0.00    0.00    0.00   24.00
01:26:49 AM   15   49.50    0.00   20.79    0.00    0.00   12.87    0.00    0.00    0.00   16.83

01:26:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:26:50 AM  all   49.12    0.00   20.53    0.00    0.50   11.89    0.00    0.00    0.00   17.96
01:26:50 AM    0   54.46    0.00   22.77    0.00    0.00   10.89    0.00    0.00    0.00   11.88
01:26:50 AM    1   36.36    0.00   18.18    0.00    0.00   19.19    0.00    0.00    0.00   26.26
01:26:50 AM    2   53.00    0.00   23.00    0.00    0.00   13.00    0.00    0.00    0.00   11.00
01:26:50 AM    3   51.52    0.00   23.23    0.00    0.00   11.11    0.00    0.00    0.00   14.14
01:26:50 AM    4   47.00    0.00   20.00    0.00    0.00   16.00    0.00    0.00    0.00   17.00
01:26:50 AM    5   68.69    0.00   22.22    0.00    1.01    2.02    0.00    0.00    0.00    6.06
01:26:50 AM    6   52.00    0.00   21.00    0.00    0.00   14.00    0.00    0.00    0.00   13.00
01:26:50 AM    7   38.38    0.00   17.17    0.00    0.00   14.14    0.00    0.00    0.00   30.30
01:26:50 AM    8   47.47    0.00   18.18    0.00    1.01    9.09    0.00    0.00    0.00   24.24
