Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:25:05 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:25:13 PM   978         -     24098    7.00   14.00    0.00   36.00   21.00    14  |__handler2
03:25:13 PM   978         -     24099    9.00   15.00    0.00   29.00   24.00     7  |__handler3
03:25:13 PM   978         -     24100    4.00    3.00    0.00   10.00    7.00     5  |__urcu4
03:25:13 PM   978         -     24101    7.00   17.00    0.00   31.00   24.00    11  |__handler5
03:25:13 PM   978         -     24102    9.00   16.00    0.00   31.00   25.00     1  |__handler6
03:25:13 PM   978         -     24103    7.00   16.00    0.00   35.00   23.00     0  |__handler7
03:25:13 PM   978         -     24104    7.00   17.00    0.00   30.00   24.00    13  |__handler8
03:25:13 PM   978         -     24105    8.00   13.00    0.00   34.00   21.00     6  |__handler9
03:25:13 PM   978         -     24106    8.00   16.00    0.00   30.00   24.00     8  |__handler10
03:25:13 PM   978         -     24107    9.00   14.00    0.00   30.00   23.00    14  |__handler11
03:25:13 PM   978         -     24108    8.00   15.00    0.00   31.00   23.00     8  |__handler12
03:25:13 PM   978         -     24109    8.00   15.00    0.00   31.00   23.00     9  |__handler13
03:25:13 PM   978         -     24110    7.00   15.00    0.00   27.00   22.00    14  |__handler14
03:25:13 PM   978         -     24111    8.00   16.00    0.00   35.00   24.00    15  |__handler15
03:25:13 PM   978         -     24112   10.00   14.00    0.00   33.00   24.00    15  |__handler16
03:25:13 PM   978         -     24113    9.00   18.00    0.00   29.00   27.00     1  |__handler17
03:25:13 PM   978         -     24114   19.00   13.00    0.00   17.00   32.00     9  |__revalidator18
03:25:13 PM   978         -     24115   19.00   12.00    0.00   20.00   31.00    12  |__revalidator19
03:25:13 PM   978         -     24116   19.00   12.00    0.00   24.00   31.00     5  |__revalidator20
03:25:13 PM   978         -     24117   18.00   11.00    0.00   25.00   29.00     9  |__revalidator21
03:25:13 PM   978         -     24118   18.00   13.00    0.00   24.00   31.00     2  |__revalidator22
03:25:13 PM   978         -     24119   17.00   12.00    0.00   24.00   29.00     6  |__revalidator23
03:25:13 PM   978         -     24120   16.00   11.00    0.00   25.00   27.00     8  |__revalidator24
03:25:13 PM   978         -     24121   17.00   11.00    0.00   28.00   28.00     6  |__revalidator25
03:25:13 PM   978         -     24122   20.00   13.00    0.00   21.00   33.00     2  |__revalidator26
03:25:13 PM   978         -     24123   19.00   12.00    0.00   21.00   31.00     4  |__revalidator27
03:25:14 PM   978     24095         -  320.00  412.00    0.00   44.00  732.00     4  ovs-vswitchd
03:25:14 PM   978         -     24095   15.00   13.00    0.00   44.00   28.00     4  |__ovs-vswitchd
03:25:14 PM   978         -     24097    9.00   18.00    0.00   27.00   27.00     3  |__handler1
03:25:14 PM   978         -     24098    9.00   17.00    0.00   29.00   26.00     9  |__handler2
03:25:14 PM   978         -     24099    8.00   17.00    0.00   27.00   25.00     6  |__handler3
03:25:14 PM   978         -     24100    8.00    3.00    0.00    9.00   11.00     0  |__urcu4
03:25:14 PM   978         -     24101    9.00   17.00    0.00   28.00   26.00    11  |__handler5
03:25:14 PM   978         -     24102    8.00   19.00    0.00   29.00   27.00    10  |__handler6
03:25:14 PM   978         -     24103    9.00   19.00    0.00   27.00   28.00     1  |__handler7
03:25:14 PM   978         -     24104    9.00   18.00    0.00   30.00   27.00    12  |__handler8
03:25:14 PM   978         -     24105   10.00   22.00    0.00   26.00   32.00    10  |__handler9
03:25:14 PM   978         -     24106    9.00   19.00    0.00   31.00   28.00    15  |__handler10
03:25:14 PM   978         -     24107    9.00   19.00    0.00   25.00   28.00    12  |__handler11
03:25:14 PM   978         -     24108   10.00   18.00    0.00   30.00   28.00     2  |__handler12
03:25:14 PM   978         -     24109    9.00   17.00    0.00   25.00   26.00    14  |__handler13
03:25:14 PM   978         -     24110    9.00   20.00    0.00   29.00   29.00    14  |__handler14
03:25:14 PM   978         -     24111    8.00   17.00    0.00   30.00   25.00     1  |__handler15
03:25:14 PM   978         -     24112   11.00   18.00    0.00   30.00   29.00    10  |__handler16
03:25:14 PM   978         -     24113    8.00   18.00    0.00   28.00   26.00     1  |__handler17
03:25:14 PM   978         -     24114   15.00    9.00    0.00   32.00   24.00     2  |__revalidator18
03:25:14 PM   978         -     24115   13.00   11.00    0.00   26.00   24.00    13  |__revalidator19
03:25:14 PM   978         -     24116   13.00   10.00    0.00   21.00   23.00     0  |__revalidator20
03:25:14 PM   978         -     24117   16.00   10.00    0.00   25.00   26.00     3  |__revalidator21
03:25:14 PM   978         -     24118   16.00   10.00    0.00   26.00   26.00     8  |__revalidator22
03:25:14 PM   978         -     24119   14.00    9.00    0.00   24.00   23.00     4  |__revalidator23
03:25:14 PM   978         -     24120   17.00   11.00    0.00   18.00   28.00    11  |__revalidator24
03:25:14 PM   978         -     24121   18.00   11.00    0.00   21.00   29.00    13  |__revalidator25
03:25:14 PM   978         -     24122   15.00    9.00    0.00   25.00   24.00    15  |__revalidator26
03:25:14 PM   978         -     24123   18.00   11.00    0.00   23.00   29.00     8  |__revalidator27
03:25:14 PM   978         -     25508    0.00    0.00    0.00    0.00    0.00     2  |__handler2
03:25:15 PM   978     24095         -  273.00  450.00    0.00   39.00  723.00     5  ovs-vswitchd
03:25:15 PM   978         -     24095   14.00   16.00    0.00   39.00   30.00     5  |__ovs-vswitchd
03:25:15 PM   978         -     24097    7.00   20.00    0.00   28.00   27.00     7  |__handler1
03:25:15 PM   978         -     24098    9.00   19.00    0.00   29.00   28.00    11  |__handler2
03:25:15 PM   978         -     24099    7.00   22.00    0.00   25.00   29.00     5  |__handler3
03:25:15 PM   978         -     24100    9.00    5.00    0.00    9.00   14.00    13  |__urcu4
03:25:15 PM   978         -     24101    8.00   20.00    0.00   26.00   28.00    14  |__handler5
03:25:15 PM   978         -     24102    9.00   20.00    0.00   27.00   29.00     9  |__handler6
03:25:15 PM   978         -     24103    9.00   22.00    0.00   23.00   31.00    13  |__handler7
03:25:15 PM   978         -     24104    9.00   21.00    0.00   29.00   30.00     8  |__handler8
03:25:15 PM   978         -     24105    9.00   22.00    0.00   24.00   31.00    15  |__handler9
03:25:15 PM   978         -     24106    8.00   21.00    0.00   25.00   29.00    14  |__handler10
03:25:15 PM   978         -     24107    9.00   21.00    0.00   27.00   30.00    12  |__handler11
03:25:15 PM   978         -     24108    9.00   20.00    0.00   27.00   29.00    10  |__handler12
03:25:15 PM   978         -     24109    9.00   22.00    0.00   24.00   31.00     0  |__handler13
03:25:15 PM   978         -     24110    8.00   21.00    0.00   26.00   29.00     3  |__handler14
03:25:15 PM   978         -     24111    8.00   23.00    0.00   22.00   31.00     6  |__handler15
03:25:15 PM   978         -     24112    8.00   21.00    0.00   25.00   29.00     8  |__handler16
03:25:15 PM   978         -     24113    8.00   22.00    0.00   23.00   30.00     9  |__handler17
03:25:15 PM   978         -     24114   11.00   10.00    0.00   21.00   21.00     3  |__revalidator18
