Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

03:47:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:50 PM  all    4.04    0.00    2.68    0.00    0.31   34.10    0.06    0.00    0.00   58.81
03:47:50 PM    0    2.94    0.00    1.96    0.00    0.00   32.35    0.00    0.00    0.00   62.75
03:47:50 PM    1    5.00    0.00    3.00    0.00    0.00   39.00    0.00    0.00    0.00   53.00
03:47:50 PM    2    5.94    0.00    2.97    0.00    0.99   34.65    0.00    0.00    0.00   55.45
03:47:50 PM    3    0.00    0.00    0.00    0.00    0.00   33.33    0.00    0.00    0.00   66.67
03:47:50 PM    4    5.88    0.00    3.92    0.00    0.98   32.35    0.00    0.00    0.00   56.86
03:47:50 PM    5    6.93    0.00    3.96    0.00    0.00   32.67    0.00    0.00    0.00   56.44
03:47:50 PM    6    0.00    0.00    1.01    0.00    0.00   34.34    0.00    0.00    0.00   64.65
03:47:50 PM    7    5.88    0.00    3.92    0.00    0.98   32.35    0.00    0.00    0.00   56.86
03:47:50 PM    8    6.86    0.00    3.92    0.00    0.00   33.33    0.98    0.00    0.00   54.90
03:47:50 PM    9    0.00    0.00    1.01    0.00    0.00   36.36    0.00    0.00    0.00   62.63
03:47:50 PM   10    2.97    0.00    1.98    0.00    0.99   33.66    0.00    0.00    0.00   60.40
03:47:50 PM   11    0.00    0.00    1.00    0.00    1.00   34.00    0.00    0.00    0.00   64.00
03:47:50 PM   12    3.03    0.00    2.02    0.00    0.00   33.33    0.00    0.00    0.00   61.62
03:47:50 PM   13    6.93    0.00    3.96    0.00    0.00   35.64    0.00    0.00    0.00   53.47
03:47:50 PM   14    6.06    0.00    4.04    0.00    0.00   32.32    0.00    0.00    0.00   57.58
03:47:50 PM   15    6.00    0.00    4.00    0.00    0.00   36.00    0.00    0.00    0.00   54.00

03:47:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:51 PM  all    4.10    0.00    2.49    0.00    0.25   32.94    0.00    0.00    0.00   60.22
03:47:51 PM    0    6.93    0.00    2.97    0.00    0.99   31.68    0.00    0.00    0.00   57.43
03:47:51 PM    1    0.99    0.00    1.98    0.00    0.00   35.64    0.00    0.00    0.00   61.39
03:47:51 PM    2    5.94    0.00    3.96    0.00    0.00   32.67    0.00    0.00    0.00   57.43
03:47:51 PM    3    4.95    0.00    3.96    0.00    0.00   32.67    0.00    0.00    0.00   58.42
03:47:51 PM    4    6.93    0.00    3.96    0.00    0.00   31.68    0.00    0.00    0.00   57.43
03:47:51 PM    5    1.96    0.00    0.98    0.00    0.98   32.35    0.00    0.00    0.00   63.73
03:47:51 PM    6    4.95    0.00    2.97    0.00    0.00   32.67    0.00    0.00    0.00   59.41
03:47:51 PM    7    0.00    0.00    1.01    0.00    0.00   31.31    0.00    0.00    0.00   67.68
03:47:51 PM    8    7.07    0.00    3.03    0.00    0.00   34.34    0.00    0.00    0.00   55.56
03:47:51 PM    9    0.99    0.00    0.99    0.00    0.99   34.65    0.00    0.00    0.00   62.38
03:47:51 PM   10    5.94    0.00    2.97    0.00    0.00   32.67    0.00    0.00    0.00   58.42
03:47:51 PM   11    0.00    0.00    0.00    0.00    0.00   34.00    0.00    0.00    0.00   66.00
03:47:51 PM   12    0.00    0.00    0.00    0.00    0.00   32.32    0.00    0.00    0.00   67.68
03:47:51 PM   13    5.94    0.00    3.96    0.00    0.00   32.67    0.00    0.00    0.00   57.43
03:47:51 PM   14    5.94    0.00    3.96    0.00    0.00   32.67    0.00    0.00    0.00   57.43
03:47:51 PM   15    7.00    0.00    3.00    0.00    1.00   33.00    0.00    0.00    0.00   56.00

03:47:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:47:52 PM  all    4.04    0.00    2.67    0.00    0.25   33.62    0.00    0.00    0.00   59.42
03:47:52 PM    0    6.00    0.00    3.00    0.00    0.00   33.00    0.00    0.00    0.00   58.00
03:47:52 PM    1    1.96    0.00    0.98    0.00    0.98   38.24    0.00    0.00    0.00   57.84
03:47:52 PM    2    5.94    0.00    4.95    0.00    0.00   33.66    0.00    0.00    0.00   55.45
03:47:52 PM    3    5.88    0.00    3.92    0.00    0.98   33.33    0.00    0.00    0.00   55.88
